Name,VDW,HB,HP,HM,HS,RT,x-score,q,C,N,O,H,F,P,S,Cl,Br,I,1,2,3,am,ar,his,arg,lys,ile,phe,leu,trp,ala,met,pro,val,cys,asn,gly,ser,gln,tyr,thr,asp,glu,hoh,phis,parg,plys,pile,pphe,pleu,ptrp,pala,pmet,ppro,pval,pcys,pasn,pgly,pser,pgln,ptyr,pthr,pasp,pglu,exp
1duv,516.7,13.7,16.5,0.36,40.6,6,6.21,-2,5,4,6,14,0,1,1,0,0,0,21,1,0,3,5,2,5,2,2,4,3,2,2,3,1,3,2,3,5,4,4,3,5,4,3,20,9,12,22,11,13,36,4,37,12,9,20,4,13,26,15,14,10,22,16,28,11.8
4hwp,762.5,6,71.8,1.16,235,3,7.38,1,19,5,4,22,0,0,1,0,0,0,31,3,0,2,17,6,5,1,4,4,4,2,4,4,3,3,3,2,6,3,3,2,2,3,4,24,16,31,23,22,20,33,7,17,15,14,28,8,15,28,22,17,14,16,23,40,7.76
3ejp,534.8,5.3,43.3,0.36,128.2,2,6.17,1,16,1,4,22,0,0,0,0,0,0,38,1,0,0,6,3,3,0,2,2,1,2,2,1,2,0,0,1,5,1,1,6,2,9,2,33,44,55,51,40,44,100,21,52,28,58,72,11,39,61,73,57,38,57,63,52,8.55
5czm,1098.5,4.7,124,3.88,376.1,13,8.5,-3,35,4,10,32,0,1,0,1,1,0,55,5,0,3,24,6,1,2,2,7,4,1,6,1,2,3,0,1,5,3,0,2,4,6,2,45,9,7,6,11,10,9,3,13,4,6,9,0,7,19,9,2,7,10,14,4,8.32
3o84,550.5,2,66.9,2.61,126,2,6.34,-1,19,4,2,13,0,0,0,0,0,0,20,1,0,0,20,1,2,0,1,2,6,0,3,2,5,5,0,2,5,7,4,3,0,1,1,23,12,21,14,26,19,48,4,29,7,24,31,7,21,28,30,28,17,19,22,26,7.24
3ff3,294.9,5.3,14.8,0,42.6,4,4.79,-1,5,1,4,8,0,0,0,0,0,0,13,0,0,0,4,2,4,1,0,3,4,1,2,0,2,1,0,4,6,4,1,4,0,4,3,25,13,32,50,52,34,58,10,52,9,38,39,2,38,49,50,18,38,29,35,43,3.57
3hzk,423.4,7.4,16.2,1.6,84.6,11,5.16,-2,19,0,15,28,0,0,0,0,0,0,58,1,0,0,4,0,3,3,2,0,4,1,2,0,1,0,0,4,1,2,1,5,2,1,1,11,2,9,17,7,7,18,4,14,3,9,12,4,12,14,33,10,12,22,12,10,6.7
5ty9,380.8,1.4,23.9,1.31,50.8,3,5.14,0,11,1,5,11,0,0,0,0,0,0,19,2,0,2,6,6,1,0,1,3,7,2,2,0,3,4,1,3,0,2,1,2,2,0,2,24,12,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,5.21
5f61,646.6,3.7,96.3,4.51,271.1,0,7.54,1,26,7,2,35,1,0,1,0,0,0,54,2,0,1,18,0,0,2,3,2,2,1,3,4,2,3,1,4,0,0,2,4,0,4,0,28,1,3,12,7,5,13,3,5,5,12,5,2,12,2,2,9,7,8,6,8,7.46
3uug,416.2,8.9,0,0,0,1,5.71,-1,6,0,7,9,0,0,0,0,0,0,20,0,0,0,2,0,3,1,2,2,3,2,4,0,3,1,0,3,3,4,2,3,4,7,1,16,0,6,29,19,8,25,2,22,8,13,34,0,15,31,23,16,17,18,30,13,4.51
5flo,318,0.6,27.6,1.34,120.8,3,4.93,0,8,4,1,7,0,0,0,1,0,0,14,2,0,0,6,6,1,0,1,4,7,3,1,0,3,5,1,3,1,2,1,1,2,0,2,8,12,7,24,9,12,26,7,13,1,17,17,1,10,22,17,11,8,12,19,13,3.15
5en3,454.5,1,73.2,3.08,192.3,0,6.21,0,15,0,5,9,0,0,0,1,0,0,18,2,0,0,12,0,0,1,1,0,3,0,3,1,0,3,0,0,0,3,0,2,3,0,1,19,4,4,6,5,5,7,2,12,1,7,12,1,3,7,10,0,5,10,5,10,6.21
5vcv,690,3.7,73.7,2.15,284.4,2,7.2,1,22,7,2,27,0,0,1,1,0,0,47,3,0,1,12,3,3,3,1,3,6,0,2,0,1,3,2,1,4,2,4,3,1,1,4,20,9,21,9,3,10,41,4,22,6,19,17,6,2,31,20,19,8,7,9,24,6.82
4z84,647.8,2.3,94.4,2.27,192.4,2,6.88,1,19,3,2,17,0,0,0,1,0,0,29,3,0,1,12,0,3,4,2,4,5,0,2,6,2,5,0,1,6,1,0,4,4,3,4,27,9,15,33,21,25,31,6,20,8,14,19,2,16,20,14,12,14,13,18,25,5.82
3ao2,477.7,0.3,25.9,1.18,128.1,0,5.78,0,11,3,2,10,0,0,0,0,1,0,21,2,0,0,6,2,3,4,5,1,1,2,3,0,1,3,0,1,3,1,0,2,0,2,2,7,6,5,10,12,3,8,3,15,2,3,12,2,4,13,5,7,3,9,6,10,3.77
2qi0,906.3,1.4,149.9,4.71,357.8,9,7.97,0,30,2,5,31,1,0,2,0,0,0,49,5,0,2,18,0,2,1,5,1,5,0,1,1,3,3,0,2,6,0,0,0,3,3,0,20,1,4,7,13,2,11,2,3,2,7,6,2,4,13,0,5,1,8,4,4,7.38
4dcs,533,10.8,0,0,0,5,5.98,-2,10,5,11,13,0,2,0,0,0,0,31,3,0,1,8,0,2,6,2,0,3,1,3,2,1,5,0,3,4,3,0,0,1,2,2,1,8,23,25,33,21,26,2,35,11,16,40,1,22,25,20,10,15,19,23,31,5.1
3fjg,294,4.3,0,0,0,3,4.7,-3,3,0,7,4,0,1,0,0,0,0,9,0,0,0,5,1,3,1,1,2,0,5,4,0,5,1,0,2,8,6,2,0,4,1,1,23,2,7,27,19,12,12,6,23,1,8,15,0,14,18,14,8,6,12,16,11,3.73
4x24,652.2,4.8,43.9,0.38,44.5,4,6.33,1,13,5,1,20,0,0,1,0,0,0,35,1,0,0,6,1,1,0,4,4,1,0,9,3,2,3,2,1,7,5,1,1,3,4,3,9,5,4,10,16,12,19,0,29,7,8,26,4,5,18,16,18,4,9,12,15,9.78
